Gender,Customer Type,Type of Travel,Class,Age,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Satisfaction
Female,Disloyal Customer,Business travel,Business,30,1846,11,25,3,4,3,3,0,4,3,4,2,4,5,3,4,0
Female,Disloyal Customer,Business travel,Eco Plus,23,1679,13,30,2,2,5,1,4,3,2,3,4,4,3,4,5,0
Female,Loyal Customer,Business travel,Eco Plus,32,1037,12,27,3,4,4,3,3,3,4,5,3,4,3,5,4,0
Female,Loyal Customer,Personal Travel,Eco Plus,65,326,2,11,4,2,4,3,4,4,3,5,5,4,3,2,3,0
Female,Loyal Customer,Personal Travel,Eco,47,421,1,0,3,2,3,0,5,3,2,4,3,3,4,3,5,0
Male,Loyal Customer,Business travel,Eco Plus,42,474,4,4,4,3,2,0,4,2,2,4,4,4,5,4,3,0
Female,Loyal Customer,Personal Travel,Eco,27,1539,1,4,4,5,3,3,2,4,4,5,4,4,4,3,4,1
Male,Disloyal Customer,Personal Travel,Business,50,1716,22,21,5,4,2,2,3,4,3,3,4,4,2,4,4,0
Female,Loyal Customer,Personal Travel,Eco,23,998,6,6,5,5,3,2,4,2,3,3,4,4,5,5,4,1
Female,Disloyal Customer,Personal Travel,Eco,20,748,2,18,2,4,4,4,4,2,3,4,4,5,4,3,4,0
Female,Loyal Customer,Business travel,Eco Plus,32,1674,6,0,3,4,3,4,4,1,4,3,3,4,4,4,4,0
Female,Disloyal Customer,Business travel,Eco Plus,62,411,1,9,3,4,3,3,4,3,5,2,2,4,4,3,4,0
Male,Disloyal Customer,Personal Travel,Eco,62,926,2,5,4,3,3,2,2,4,4,0,4,3,5,0,3,0
Female,Loyal Customer,Business travel,Eco Plus,34,1131,6,0,3,4,3,3,5,4,4,4,1,4,3,4,3,0
Female,Loyal Customer,Personal Travel,Eco,31,469,5,0,3,5,1,3,4,4,3,2,2,4,2,2,3,0
Male,Disloyal Customer,Personal Travel,Eco Plus,19,582,6,0,2,4,2,4,4,2,2,3,3,4,4,3,3,0
Male,Disloyal Customer,Personal Travel,Eco,40,543,11,16,3,5,3,3,4,3,4,1,4,4,4,4,5,0
Male,Loyal Customer,Business travel,Eco,41,1608,16,15,3,4,2,3,4,5,4,4,3,3,5,0,5,1
Female,Loyal Customer,Personal Travel,Eco,48,1857,9,1,3,5,3,3,3,3,4,4,5,4,5,3,4,1
Male,Loyal Customer,Personal Travel,Eco,50,957,16,0,2,3,2,4,3,4,5,4,2,4,3,3,5,1
Female,Disloyal Customer,Business travel,Eco,37,766,5,9,4,5,2,4,5,4,2,5,2,3,4,2,3,0
Male,Disloyal Customer,Personal Travel,Eco,46,600,18,16,4,4,3,5,4,4,3,4,1,4,4,4,4,1
Female,Loyal Customer,Business travel,Eco,31,901,9,2,2,3,4,4,2,4,4,3,2,4,4,4,4,1
Male,Disloyal Customer,Personal Travel,Eco,45,625,15,5,4,0,4,5,4,4,3,3,3,3,2,4,4,0
Female,Disloyal Customer,Personal Travel,Eco,33,851,5,3,2,3,2,4,2,2,5,4,5,5,4,3,3,0
Male,Disloyal Customer,Business travel,Eco,45,1107,9,14,5,3,3,3,4,5,3,4,4,4,0,5,5,1
Female,Loyal Customer,Personal Travel,Eco Plus,44,697,29,26,5,4,2,5,4,2,5,3,4,3,4,3,4,1
Female,Loyal Customer,Personal Travel,Business,40,805,8,0,3,2,0,2,3,4,3,2,3,4,3,5,4,1
Female,Loyal Customer,Personal Travel,Eco,49,807,15,14,3,5,4,0,3,3,5,5,4,4,4,3,3,1
Female,Loyal Customer,Business travel,Business,20,741,17,27,0,4,3,2,4,3,1,4,4,4,3,4,2,1
Male,Loyal Customer,Business travel,Eco,26,679,12,12,3,4,4,4,4,3,4,4,3,4,5,3,4,1
Male,Loyal Customer,Business travel,Eco,36,1281,14,15,3,3,4,4,2,4,3,1,3,5,3,5,5,1
Male,Loyal Customer,Personal Travel,Eco Plus,22,80,5,2,5,3,3,4,5,4,1,4,3,5,3,3,2,0
Male,Disloyal Customer,Personal Travel,Eco Plus,34,1687,4,0,4,2,3,1,3,3,3,4,2,4,5,4,2,1
Female,Loyal Customer,Personal Travel,Business,35,968,3,0,4,5,2,2,3,3,2,3,4,4,4,3,4,0
Female,Disloyal Customer,Personal Travel,Eco,55,1205,11,0,4,2,1,4,5,5,3,3,3,4,4,3,3,0
Female,Loyal Customer,Business travel,Eco Plus,41,1263,8,20,2,2,2,4,5,3,4,4,3,5,0,4,5,0
Female,Loyal Customer,Personal Travel,Eco,51,546,10,15,3,5,4,3,3,3,3,4,5,4,3,3,4,0
Female,Loyal Customer,Personal Travel,Eco,43,443,3,4,4,4,4,3,3,3,4,3,3,4,3,4,4,1
Female,Disloyal Customer,Personal Travel,Eco,33,384,5,8,2,4,2,2,3,5,3,0,4,4,3,4,5,0
Male,Disloyal Customer,Personal Travel,Business,41,776,15,18,4,4,3,5,3,3,5,3,2,3,3,2,4,0
Male,Loyal Customer,Personal Travel,Eco,48,1250,9,2,4,4,1,3,5,4,4,3,4,4,3,4,4,1
Female,Disloyal Customer,Personal Travel,Business,53,608,9,6,4,4,2,4,5,2,3,4,3,3,3,5,5,0
Female,Loyal Customer,Personal Travel,Eco Plus,37,1204,7,2,4,2,3,4,4,3,4,3,2,5,5,3,2,1
Male,Loyal Customer,Personal Travel,Eco Plus,19,80,4,29,2,4,2,2,4,3,3,5,2,4,2,0,3,0
Male,Loyal Customer,Personal Travel,Eco Plus,18,707,18,28,5,4,1,3,4,3,2,4,3,4,4,2,4,0
Female,Loyal Customer,Business travel,Business,35,1484,20,22,2,5,4,3,3,3,4,3,2,4,4,3,3,0
Male,Loyal Customer,Personal Travel,Eco,18,815,9,23,3,2,3,3,2,3,4,2,4,3,4,5,3,0
Male,Disloyal Customer,Personal Travel,Eco,61,485,7,19,4,3,2,4,4,3,5,4,3,4,4,3,5,1
Female,Loyal Customer,Personal Travel,Eco Plus,46,572,21,7,4,4,3,3,5,5,4,3,2,4,4,4,3,1
Female,Loyal Customer,Personal Travel,Eco,31,80,5,3,2,3,3,3,3,2,3,5,4,5,4,3,4,0
Male,Loyal Customer,Business travel,Eco,26,394,6,6,3,1,3,3,5,4,4,3,4,5,5,4,4,1
Female,Loyal Customer,Personal Travel,Eco,51,1429,15,21,4,4,2,5,3,4,5,0,2,4,1,5,4,0
Male,Loyal Customer,Business travel,Eco,26,609,6,4,4,4,0,3,4,3,3,3,4,4,5,5,4,1
Female,Disloyal Customer,Business travel,Eco,27,668,8,7,3,3,4,4,4,3,2,4,3,4,5,4,5,1
Male,Disloyal Customer,Personal Travel,Eco,30,80,1,0,4,4,2,5,5,3,5,4,3,3,5,4,5,1
Female,Loyal Customer,Personal Travel,Business,40,85,21,31,0,4,2,2,4,5,2,4,3,3,3,3,3,0
Male,Disloyal Customer,Personal Travel,Eco,46,1495,14,0,4,4,4,3,4,3,2,4,5,3,4,5,2,1
Male,Loyal Customer,Personal Travel,Business,53,1209,17,13,3,4,2,2,4,5,4,2,4,5,4,4,4,1
Female,Loyal Customer,Personal Travel,Business,52,251,4,0,4,5,3,1,3,4,4,4,5,4,3,5,3,0
Male,Loyal Customer,Personal Travel,Eco,39,585,24,14,3,3,2,2,2,4,4,4,4,4,4,2,3,0
Male,Loyal Customer,Personal Travel,Eco Plus,51,885,8,11,5,4,2,3,3,4,4,3,4,4,4,3,2,1
Male,Loyal Customer,Personal Travel,Eco Plus,31,302,18,21,4,3,2,0,4,2,3,2,3,4,3,4,4,1
Female,Disloyal Customer,Business travel,Eco Plus,18,80,11,8,3,3,2,3,4,4,3,2,3,4,4,4,4,0
Female,Loyal Customer,Business travel,Eco,31,820,14,25,4,5,3,3,4,2,3,4,4,5,4,3,3,1
Female,Disloyal Customer,Business travel,Eco,29,1186,11,25,5,3,4,2,0,4,3,4,3,4,3,0,0,0
Male,Disloyal Customer,Personal Travel,Eco,31,1196,6,5,4,3,3,4,1,3,4,4,5,3,3,5,4,0
Male,Disloyal Customer,Personal Travel,Eco Plus,27,1338,2,5,3,5,4,4,4,3,4,4,4,3,4,4,5,1
Male,Disloyal Customer,Business travel,Business,33,123,19,14,3,5,2,4,4,5,2,3,2,4,3,4,5,1
Female,Disloyal Customer,Business travel,Eco Plus,46,929,0,6,3,3,2,3,5,3,2,3,3,3,4,3,3,1
Female,Loyal Customer,Personal Travel,Eco Plus,60,766,15,3,4,3,3,4,4,2,4,2,4,4,3,4,3,1
Female,Loyal Customer,Personal Travel,Business,18,856,19,37,3,3,3,3,5,4,3,4,2,3,5,3,3,1
Female,Loyal Customer,Personal Travel,Eco Plus,24,794,2,13,4,5,3,3,3,2,2,5,3,4,3,5,5,0
Male,Disloyal Customer,Business travel,Eco,30,570,6,0,5,3,3,4,4,5,2,4,2,5,3,4,4,0
Female,Loyal Customer,Personal Travel,Business,48,80,2,0,4,3,2,3,4,3,5,3,3,4,4,4,5,1
Male,Loyal Customer,Personal Travel,Eco,37,1481,5,9,3,4,3,2,4,2,4,4,2,3,2,4,4,0
Male,Disloyal Customer,Personal Travel,Eco,30,1065,17,14,5,2,4,4,4,4,4,4,4,4,3,5,3,0
Male,Loyal Customer,Personal Travel,Eco,48,158,14,19,5,3,4,2,4,4,4,2,3,4,2,5,4,0
Male,Disloyal Customer,Personal Travel,Business,50,1137,13,9,4,4,4,3,4,1,3,4,4,4,4,4,0,1
Male,Loyal Customer,Business travel,Eco,39,676,6,21,5,4,4,4,4,3,3,4,2,3,5,4,3,0
Male,Loyal Customer,Personal Travel,Eco,29,691,1,1,3,2,2,4,5,4,3,4,0,4,3,4,4,0
Male,Loyal Customer,Personal Travel,Eco,42,516,3,27,4,4,1,3,2,4,2,5,2,4,5,5,3,1
Female,Loyal Customer,Personal Travel,Eco,36,1168,7,13,3,4,3,2,3,3,2,4,4,4,3,0,5,1
Male,Loyal Customer,Business travel,Eco,36,500,3,0,2,3,3,2,5,4,5,5,3,3,3,4,2,0
Male,Loyal Customer,Personal Travel,Eco Plus,33,352,16,37,5,5,4,4,3,4,3,3,3,5,0,4,5,0
Female,Loyal Customer,Personal Travel,Business,50,1466,24,35,2,4,2,4,4,3,3,2,4,4,4,4,3,1
Female,Disloyal Customer,Personal Travel,Eco,42,811,10,14,4,3,2,3,5,3,0,3,3,4,4,3,1,0
Female,Disloyal Customer,Business travel,Eco,51,826,2,8,4,5,2,3,4,4,4,5,2,4,5,5,2,0
Male,Loyal Customer,Business travel,Eco,55,1246,20,8,4,3,2,3,3,3,3,3,3,5,4,3,4,1
Female,Loyal Customer,Business travel,Eco,45,566,9,0,3,4,1,3,5,2,3,2,2,5,4,4,4,1
Male,Loyal Customer,Personal Travel,Eco Plus,33,666,8,8,3,3,2,2,4,2,0,4,5,5,3,3,4,0
Male,Disloyal Customer,Business travel,Eco Plus,51,1053,12,26,4,4,3,3,4,3,4,3,3,4,5,4,4,1
Female,Disloyal Customer,Business travel,Eco Plus,45,129,3,7,4,3,3,2,2,3,3,4,2,4,3,4,4,0
Female,Loyal Customer,Personal Travel,Eco,70,1011,6,23,3,3,3,2,4,3,4,3,3,4,4,5,4,1
Female,Loyal Customer,Personal Travel,Eco Plus,43,522,8,21,3,3,2,3,4,5,5,3,4,5,4,3,4,0
Female,Disloyal Customer,Personal Travel,Eco,47,1328,10,10,2,3,2,4,3,3,3,5,3,4,4,5,5,0
Female,Disloyal Customer,Personal Travel,Eco,42,1173,11,23,5,5,2,4,3,4,3,3,2,4,4,2,4,0
Male,Loyal Customer,Personal Travel,Business,38,1107,12,27,4,2,3,2,3,3,3,3,3,4,1,3,4,0
Male,Disloyal Customer,Personal Travel,Eco Plus,36,97,5,4,4,4,3,2,3,5,3,4,4,4,5,3,5,0
Male,Loyal Customer,Business travel,Business,43,848,1,0,3,4,5,3,4,5,2,1,4,4,5,4,4,1
Male,Loyal Customer,Personal Travel,Business,45,311,7,8,3,3,3,1,3,3,4,4,4,4,5,3,3,1
Female,Disloyal Customer,Personal Travel,Eco Plus,53,882,7,0,4,4,3,4,5,4,2,5,4,4,4,3,4,0
Male,Loyal Customer,Personal Travel,Business,43,80,1,4,3,2,3,2,4,5,3,4,5,4,5,5,4,1
Female,Loyal Customer,Personal Travel,Eco,33,130,5,12,4,0,2,5,2,2,3,3,1,4,4,4,5,0
Female,Disloyal Customer,Personal Travel,Eco,35,1495,9,10,2,2,4,2,4,4,5,3,2,0,4,5,0,0
Female,Disloyal Customer,Personal Travel,Eco,23,1085,5,8,5,3,4,0,4,2,3,4,3,4,4,5,5,0
Male,Loyal Customer,Personal Travel,Eco,59,723,9,9,4,2,1,3,5,3,3,4,4,3,4,5,4,1
Male,Disloyal Customer,Business travel,Eco,33,446,5,0,3,3,2,3,4,3,4,5,2,2,5,5,5,1
Female,Disloyal Customer,Personal Travel,Eco,51,358,13,30,4,3,3,3,4,2,3,5,3,4,2,4,4,0
Female,Loyal Customer,Business travel,Eco Plus,42,1000,3,0,4,5,2,4,5,4,3,4,5,4,4,3,3,0
Female,Disloyal Customer,Business travel,Eco Plus,43,728,8,2,2,4,1,4,3,4,0,3,3,4,3,4,2,1
Female,Disloyal Customer,Personal Travel,Eco Plus,38,1673,8,22,5,4,3,4,5,3,3,3,3,4,5,3,4,0
Female,Loyal Customer,Personal Travel,Eco,30,808,15,25,4,3,1,4,4,4,4,4,5,5,3,4,3,0
Male,Loyal Customer,Personal Travel,Eco Plus,27,929,6,9,3,4,3,3,3,4,4,5,3,4,3,5,3,1
Female,Disloyal Customer,Business travel,Eco,60,206,24,32,3,5,3,4,3,2,3,4,4,4,5,3,3,0
Male,Disloyal Customer,Personal Travel,Eco,40,720,23,11,4,4,4,3,5,1,2,4,4,5,0,3,5,1
Female,Loyal Customer,Personal Travel,Eco,53,988,4,3,4,2,3,4,4,0,3,5,3,3,4,4,4,1
Female,Loyal Customer,Business travel,Eco,56,714,8,21,4,0,4,3,4,3,2,4,3,5,4,5,4,0
Male,Disloyal Customer,Personal Travel,Eco,34,657,2,0,4,4,3,4,5,5,3,2,4,5,3,3,4,0
Male,Loyal Customer,Business travel,Business,44,1063,11,1,3,3,4,3,4,3,0,4,3,4,3,5,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,40,1657,5,6,4,5,2,4,3,4,3,4,2,2,2,2,4,0
Female,Disloyal Customer,Business travel,Eco Plus,25,972,9,10,3,0,4,2,2,3,3,3,4,5,3,5,3,1
Male,Disloyal Customer,Personal Travel,Eco,37,1472,7,13,3,4,3,2,5,2,4,5,1,5,4,4,5,1
Male,Disloyal Customer,Personal Travel,Business,46,1211,42,28,5,3,4,4,4,3,2,3,5,4,5,4,3,1
Male,Disloyal Customer,Business travel,Eco Plus,33,1442,7,0,4,4,4,4,4,2,4,3,3,5,5,4,3,0
Male,Loyal Customer,Personal Travel,Eco,35,595,7,16,4,5,3,3,5,2,4,3,3,3,2,2,4,1
Male,Disloyal Customer,Business travel,Eco Plus,37,797,16,5,5,4,3,4,3,2,5,4,3,4,4,4,5,0
Male,Loyal Customer,Business travel,Eco,64,799,17,11,4,3,3,2,2,2,4,2,4,4,3,4,3,0
Male,Loyal Customer,Personal Travel,Eco,18,1173,10,0,4,3,2,3,2,3,5,3,3,3,2,5,5,0
Male,Disloyal Customer,Personal Travel,Eco,45,1296,18,28,3,5,3,3,3,3,4,4,3,4,4,4,4,0
Male,Disloyal Customer,Business travel,Eco,36,963,37,41,3,3,3,2,4,4,3,2,2,4,4,5,4,1
Male,Disloyal Customer,Personal Travel,Eco,31,1338,6,9,2,3,1,2,5,2,2,3,3,3,3,5,4,1
Male,Loyal Customer,Business travel,Eco,36,618,3,6,4,1,3,3,5,3,4,2,4,4,3,4,4,0
Female,Disloyal Customer,Personal Travel,Eco,47,1343,11,0,2,0,4,3,1,3,4,3,4,4,4,4,4,0
Male,Disloyal Customer,Business travel,Business,48,1408,17,7,0,0,4,3,5,4,5,3,5,4,4,3,5,1
Male,Disloyal Customer,Personal Travel,Eco,41,1239,23,18,3,2,3,3,3,4,4,3,3,5,3,4,4,0
Male,Disloyal Customer,Business travel,Eco,52,967,12,5,4,4,1,2,5,4,4,3,2,4,3,4,4,1
Male,Loyal Customer,Personal Travel,Eco,54,1257,8,5,3,3,2,3,4,3,3,3,4,3,3,5,3,0
Male,Disloyal Customer,Personal Travel,Business,49,453,4,6,5,5,2,3,4,3,4,5,3,4,5,2,4,0
Male,Disloyal Customer,Business travel,Eco Plus,32,999,19,29,5,5,4,3,0,3,2,4,2,4,5,3,0,1
Female,Disloyal Customer,Business travel,Business,45,1050,10,0,3,3,2,3,3,5,4,5,3,4,3,5,2,1
Male,Disloyal Customer,Personal Travel,Eco,45,235,1,1,3,5,4,3,3,3,4,3,4,5,3,5,5,0
Male,Disloyal Customer,Business travel,Eco,29,1137,29,36,4,5,2,4,4,3,5,3,2,4,3,4,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,20,276,3,0,3,3,3,3,3,2,3,4,2,4,2,5,4,0
Male,Loyal Customer,Personal Travel,Eco,18,686,17,15,2,3,2,1,5,3,2,3,3,4,5,4,5,1
Male,Disloyal Customer,Personal Travel,Business,40,920,10,15,4,2,3,2,4,4,3,4,0,4,3,5,3,1
Female,Disloyal Customer,Personal Travel,Business,43,535,2,2,5,4,2,4,5,3,3,2,4,4,4,4,4,1
Female,Disloyal Customer,Personal Travel,Eco,25,941,7,14,3,3,4,3,3,3,4,3,3,4,3,4,4,0
Male,Loyal Customer,Personal Travel,Business,52,933,6,7,4,4,2,3,3,2,1,4,5,4,4,4,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,41,490,2,0,3,3,1,5,4,3,3,5,2,4,3,4,3,0
Male,Disloyal Customer,Business travel,Eco,55,1184,11,0,4,3,1,4,4,3,2,5,4,4,4,4,5,1
Male,Disloyal Customer,Business travel,Eco,43,518,15,17,4,3,3,1,0,4,5,4,3,4,4,0,5,0
Female,Loyal Customer,Business travel,Eco,26,2044,8,9,3,0,2,5,0,2,1,4,3,4,4,4,3,0
Male,Disloyal Customer,Personal Travel,Business,44,845,6,0,3,3,3,3,5,2,4,4,1,4,5,2,5,1
Male,Loyal Customer,Business travel,Eco,47,314,12,18,2,3,3,0,5,2,3,3,2,4,3,3,4,1
Female,Loyal Customer,Personal Travel,Eco,32,408,0,13,4,4,4,3,5,4,1,3,3,3,4,3,4,0
Male,Loyal Customer,Business travel,Eco Plus,22,1474,6,0,2,4,2,4,3,4,5,4,2,5,2,3,4,1
Male,Loyal Customer,Personal Travel,Eco,40,695,6,0,4,3,4,3,5,4,5,4,1,3,3,3,0,1
Female,Loyal Customer,Personal Travel,Eco,27,218,8,0,4,5,2,2,4,4,4,4,2,5,4,4,3,1
Male,Disloyal Customer,Personal Travel,Eco Plus,52,1327,2,0,3,3,1,3,3,2,3,2,4,3,4,4,4,0
Male,Disloyal Customer,Business travel,Eco,34,692,1,21,3,5,2,2,3,4,3,4,4,5,4,5,5,0
Male,Disloyal Customer,Business travel,Eco,60,1227,3,0,4,4,2,5,4,3,3,5,2,3,4,5,4,0
Female,Loyal Customer,Business travel,Eco,18,1368,11,2,0,4,2,3,5,3,4,4,3,4,4,5,4,1
Male,Loyal Customer,Business travel,Eco,41,1037,6,0,3,3,3,3,4,4,3,3,4,4,2,0,4,1
Male,Loyal Customer,Business travel,Eco,56,2098,3,0,3,4,3,3,4,3,3,3,4,4,4,5,4,0
Male,Disloyal Customer,Personal Travel,Eco Plus,28,80,26,19,5,4,3,4,4,4,4,4,4,5,3,3,4,1
Male,Loyal Customer,Business travel,Business,37,491,6,20,5,4,3,4,3,3,3,4,4,4,3,5,3,0
Female,Disloyal Customer,Personal Travel,Eco,34,772,8,0,3,5,1,3,3,0,4,4,3,5,5,5,4,1
Male,Disloyal Customer,Personal Travel,Business,31,2031,19,4,3,3,3,4,5,5,5,4,3,5,2,4,4,1
Female,Disloyal Customer,Personal Travel,Eco Plus,42,1799,9,15,4,4,2,0,3,4,4,4,3,4,4,4,0,1
Female,Loyal Customer,Business travel,Eco Plus,23,1544,12,11,2,4,2,3,4,3,2,4,3,4,5,3,3,0
Female,Loyal Customer,Business travel,Eco Plus,38,503,4,2,4,4,1,3,3,3,3,4,2,5,4,4,5,1
Male,Loyal Customer,Personal Travel,Eco Plus,45,561,8,14,3,3,3,5,4,4,4,5,5,4,3,2,2,0
Female,Loyal Customer,Personal Travel,Business,36,486,24,25,5,3,1,4,3,4,4,3,4,4,4,5,2,1
Female,Disloyal Customer,Personal Travel,Eco,27,508,11,11,5,3,2,4,3,3,4,3,4,4,5,3,4,1
Male,Loyal Customer,Business travel,Eco,51,1646,10,0,0,3,2,4,5,2,3,4,4,4,5,3,5,0
Female,Disloyal Customer,Business travel,Eco,48,778,7,0,4,3,3,3,3,3,3,3,3,4,3,2,5,1
Female,Loyal Customer,Personal Travel,Eco,27,844,2,0,3,4,3,3,4,4,4,2,2,4,5,3,4,1
Male,Disloyal Customer,Personal Travel,Eco Plus,23,1287,18,7,0,3,4,1,5,4,4,5,4,4,4,5,4,0
Female,Disloyal Customer,Personal Travel,Eco,28,80,8,11,4,4,3,2,3,4,4,4,4,4,1,3,4,1
Male,Loyal Customer,Personal Travel,Eco,46,926,5,0,3,4,4,5,4,2,3,4,4,4,4,5,5,1
Female,Disloyal Customer,Personal Travel,Eco,42,352,2,0,4,4,3,4,3,4,5,4,5,5,5,3,3,1
Female,Loyal Customer,Personal Travel,Eco,48,753,10,8,4,3,2,3,4,5,4,4,3,4,4,3,4,0
Male,Disloyal Customer,Personal Travel,Eco Plus,35,607,3,3,5,4,2,2,4,1,3,3,3,4,5,4,4,1
Female,Disloyal Customer,Personal Travel,Eco Plus,28,581,18,22,4,3,4,4,0,3,4,4,3,3,2,4,4,1
Male,Disloyal Customer,Business travel,Eco,50,1013,5,2,4,4,4,3,3,4,3,4,3,4,3,3,4,1
Female,Disloyal Customer,Personal Travel,Eco,32,1011,9,2,3,0,4,4,5,2,2,4,3,4,5,4,3,0
Female,Loyal Customer,Personal Travel,Eco,41,790,11,23,5,4,4,2,5,3,4,2,4,4,4,3,5,1
Male,Disloyal Customer,Business travel,Eco,20,1085,10,7,4,2,3,3,4,4,2,4,3,3,4,5,2,0
Male,Disloyal Customer,Business travel,Eco Plus,32,466,15,29,4,4,0,4,3,3,0,3,3,3,4,5,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,51,1241,5,2,4,3,3,5,4,3,2,3,4,3,3,5,4,1
Male,Loyal Customer,Personal Travel,Eco,30,797,8,8,4,3,4,3,4,4,1,2,2,4,3,3,4,1
Male,Disloyal Customer,Business travel,Eco,49,658,12,11,4,3,2,2,5,2,4,5,3,5,4,4,5,1
Male,Disloyal Customer,Personal Travel,Business,18,503,23,25,4,3,3,4,4,0,2,4,3,5,3,3,4,0
Male,Loyal Customer,Business travel,Eco Plus,32,779,14,10,5,3,1,2,5,4,4,0,4,4,4,3,4,0
Male,Disloyal Customer,Personal Travel,Eco,37,1835,16,17,4,5,2,2,4,4,3,3,4,4,4,4,4,0
Female,Disloyal Customer,Personal Travel,Eco,60,868,6,21,5,3,4,3,4,4,3,2,3,3,3,4,4,1
Female,Loyal Customer,Personal Travel,Eco,25,328,11,21,4,2,3,5,3,5,3,4,3,5,5,4,2,0
Female,Loyal Customer,Business travel,Business,47,1359,20,31,3,4,3,2,4,4,3,2,0,5,3,4,5,0
Male,Disloyal Customer,Personal Travel,Eco,52,664,8,0,2,3,3,3,5,5,3,5,3,5,4,3,5,1
Female,Disloyal Customer,Personal Travel,Eco,30,1042,11,0,4,4,2,3,3,3,4,5,4,3,4,3,5,0
Female,Loyal Customer,Personal Travel,Business,35,597,2,4,5,3,2,3,5,4,3,3,4,4,4,4,4,0
Male,Loyal Customer,Business travel,Eco Plus,41,1540,13,21,3,3,1,2,5,4,3,3,4,4,4,4,4,1
Male,Disloyal Customer,Personal Travel,Eco,21,605,10,5,4,5,3,4,3,3,4,1,3,5,5,4,0,1
Female,Disloyal Customer,Business travel,Eco,34,1599,13,6,4,4,3,3,5,3,3,2,4,5,4,5,2,1
Male,Disloyal Customer,Business travel,Eco,54,375,6,20,4,2,3,4,5,3,2,4,3,4,3,4,5,1
Male,Loyal Customer,Personal Travel,Eco Plus,45,754,1,8,3,3,4,3,5,3,2,5,4,4,3,4,3,0
Female,Disloyal Customer,Business travel,Eco,37,1600,14,25,3,2,3,5,3,5,4,3,2,3,3,5,4,1
Male,Loyal Customer,Business travel,Business,40,984,4,0,4,5,1,3,4,5,3,3,5,3,3,4,4,1
Male,Loyal Customer,Personal Travel,Business,46,2036,2,0,3,3,5,0,0,3,4,2,4,4,4,4,4,1
Female,Disloyal Customer,Personal Travel,Eco,48,765,9,18,2,5,2,5,5,3,4,3,5,3,4,4,4,1
Female,Disloyal Customer,Personal Travel,Eco Plus,32,1029,25,22,5,3,3,1,4,1,5,5,4,3,4,4,4,1
Male,Loyal Customer,Personal Travel,Eco,57,1853,4,0,4,3,3,3,4,3,1,4,1,4,2,3,4,0
Female,Disloyal Customer,Personal Travel,Eco,55,143,5,0,5,4,3,3,3,3,3,2,5,4,3,3,5,0
Female,Loyal Customer,Business travel,Eco Plus,47,81,14,9,4,3,3,3,3,3,0,4,3,3,4,5,4,1
Female,Loyal Customer,Business travel,Eco,29,502,7,16,4,4,3,2,3,3,3,5,4,4,5,2,5,0
Female,Loyal Customer,Personal Travel,Eco,27,1307,14,0,4,4,2,2,4,4,4,3,4,4,2,5,2,1
Male,Loyal Customer,Personal Travel,Eco,35,95,7,13,3,3,5,0,3,4,4,3,3,4,5,3,4,1
Male,Disloyal Customer,Personal Travel,Eco,40,1199,6,0,4,2,3,4,3,3,3,4,3,4,5,2,4,0
Female,Disloyal Customer,Personal Travel,Eco,18,1163,4,2,3,3,3,3,2,5,2,5,4,4,0,3,3,0
Male,Disloyal Customer,Personal Travel,Eco Plus,45,1907,10,9,3,2,4,2,5,4,5,4,3,5,5,0,5,1
Female,Loyal Customer,Business travel,Business,54,1423,4,2,3,3,2,2,4,4,3,3,3,5,3,2,3,0
Female,Loyal Customer,Business travel,Eco Plus,46,1082,5,2,5,4,4,4,4,3,3,3,5,4,3,4,4,0
Male,Loyal Customer,Personal Travel,Business,31,1580,18,14,2,3,2,4,3,4,4,2,2,0,4,2,5,0
Female,Disloyal Customer,Business travel,Eco,29,1169,32,26,2,2,3,1,5,4,3,3,3,4,4,0,4,1
Male,Loyal Customer,Personal Travel,Business,43,670,11,24,4,4,3,1,5,5,4,4,4,3,3,4,2,1
Female,Loyal Customer,Business travel,Eco,37,328,18,18,3,3,1,3,4,4,3,3,3,4,4,4,5,1
Male,Disloyal Customer,Personal Travel,Eco,44,615,6,5,4,3,2,3,3,4,5,4,2,0,5,4,2,0
Female,Disloyal Customer,Personal Travel,Business,46,880,7,1,4,3,4,3,4,3,4,3,2,4,5,4,3,0
Female,Loyal Customer,Personal Travel,Eco,52,988,9,5,4,4,3,3,4,4,3,4,3,4,4,4,5,0
Male,Loyal Customer,Personal Travel,Eco,25,80,5,0,3,3,5,3,5,2,5,4,5,5,2,4,3,1
Female,Disloyal Customer,Personal Travel,Eco,42,790,6,14,5,3,4,3,4,3,4,4,3,4,2,5,4,1
Female,Loyal Customer,Personal Travel,Eco,35,914,13,5,4,2,3,2,5,4,3,4,3,4,4,4,3,1
Female,Loyal Customer,Business travel,Eco,38,1174,8,0,4,4,3,3,3,2,2,4,3,4,4,4,4,1
Female,Disloyal Customer,Business travel,Eco,49,1713,7,8,3,4,4,3,5,3,4,4,4,4,2,1,5,1
